제목,시간,날짜,별점,리뷰제목,리뷰내용,연수분야,가격,대상,label
그림책으로 배우는 삶과 죽음,30차시,2024-03-21,5,삶의 감수성을 키우며 내적 성장이 이루어 지는 강의,"전직 초등교사이셨던 임경희 선생님의 '그림책으로 삶과 죽음'의 강의를 듣고나니 내 삶을  통찰하며 현재의 삶이 얼마나 소중하고 귀한 것인지를 깊이 깨닫게 해줍니다. 지금 현재의 삶이 얼마나 감사한지 삶의 감수성도 키워줍니다. 메먼토 모리(=죽음을 기억하라!), 아모르 파티(=고난 속에서도 운명을 사랑하고 받아들이라!)를 통해서 내 삶의 순간 순간이 귀하고 감사합니다. 많은 사람들이 이 강의를 접하여 행복하고  삶의 선택의 문제에 직면하였을 때  더 나은 선택을 할 수 있기를 바랍니다.",생활지도,"85,000원",전체대상,1
친절한 차이티의 중국어 비밀과외 - 패턴,15차시,2024-06-06,5,일상생활에 쓰이는 패턴 익히는데 유익한 연수,외우기 힘든 한자도 알기쉽고 재미있게 알려주시고 지루하지 않게 차분하게 다양한 패턴을 알려주셔서 도움이 되었음.,어학,"50,000원",전체대상,1
"즐거운 대화, 하브루타로 수업하기",30차시,2024-01-12,5,좋은 연스,좋은 연수 감사합니다.,학습지도,"75,000원",전체대상,1
조병영의 문해력 수업,30차시,2024-04-26,5,아이들의 문해력이 고민이 되어 신청했습니다.,"학교에서 근무하며 해마다 아이들의 문해력이 떨어지고 있다는 것을 체감하고 있습니다. 도움을 주고 싶은데, 어떻게 접근해야 할지 고민이 되어 신청하게 되었습니다. 이론적인 부분과 수업에서 접근해야 하는 방향을 모두 배울 수 있어서 유익했습니다. 초등학교, 중학교 선생님들과 함께 대화를 나누는 부분에서는 공감도 되고, 실질적인 방법을 배울 수 있어서 도움이 많이 되었습니다. ",학습지도,"75,000원",전체대상,1
단단한 내면의 힘을 기르는 지나영의 코어 마인드,15차시,2024-05-02,5,코어마인드,연수를 들으며 나자신을 돌아보고 힐링하는 시간을 가졌습니다. 위안이랄까 앞으로의 마음가짐이랄까? 아무튼 알고는 있지만 실행하지 못하던 것들을 이제는 해버렵니다. 교사가 행복해야 아이들도 행복합니다.ㅎㅎ,자기계발,"50,000원",전체대상,1
"공간의 재발견, 정리의 힘",15차시,2024-01-17,5,방학동안 실천하고 싶은 연수,배운 내용을 방학동안 잘 실천해보고자 합니다. 화이팅,자기계발,"40,000원",전체대상,1
"교권, 법에서 답을 찾다",30차시,2024-05-19,5,교권에 대해 자세하게 알 수 있는 연수,요즘 이야기가 많은 교권과 관련 법에 대해 자세하게 알 수 있는 매우 실제적이고 유용한 연수였습니다. 추천!,생활지도,"75,000원",전체대상,1
교사를 위한 구글 활용법(입문자편),15차시,2023-12-17,5,너무나 유익한 실전 연수!,"현장에서 바로 바로 활용가능하고, 또 기초적인 내용들을 충실히 다뤄주신 좋은 연수입니다. 강추해요^^",ICT,"40,000원",전체대상,1
"민화, 복을 담아 그리는 우리 그림",15차시,2024-05-02,5,민화의 매력 발견,민화를 보는 것을 좋아했지만 직접 그려보는 기회는 없었다. 실제해 보니 작가님처럼 예쁘게 되지 않지만 예쁜 사진을 보면 민화로 그려보고 싶다는 생각이 들었다. 선명한 색감이 맘에 들고 민화기 지닌 섬세한 기법도 배울만 하다.,자기계발,"50,000원",전체대상,1
이제 제대로 놀아보자! 쏭쌤의 신체 활용 인성 놀이,30차시,2024-04-09,5,교실 놀이 아이디어 좋아요,교실에서 할 수 있는 다양한 놀이를 직접 적용해보니 학생들이 많이 좋아해서 저도 보람있었어요~~,교과지도,"75,000원",유초등,1
수업이 막막할 땐 성공 보장 수업 스킬,30차시,2024-02-15,5,수업에서 바로 활용할 수 있는 좋은 연수입니다.,"수업시간에 바로 적용할 수 있는 다양한 그림책, 보드게임, 놀이,에듀테크를 접할 수 있어서 정말 유익한 연수였습니다.",학습지도,"85,000원",유초등,1
알베르토가 함께 하는 핵심역량 연계 다문화 교육,30차시,2024-04-14,5,다문화 수업 실제에 보다 접근할 수 있도록 도움을 받았습니다.,다문화교육에 대하여 보다 깊은 성찰의 기회가 되었습니다. 다문화교육 전반에 대한 이해를 돕는 데서부터 과목별 교수방법의 실제에 대한 팁까지 매우 유익한 연수였습니다. 평가 문항 및 선택지를 좀더 크게 해주시면 응시하는데 보다 편리할 것 같습니다. 감사합니다.,생활지도,"75,000원",전체대상,1
[집밥 한 끼] 맛있는 다이어트 + 건강한 밥상,15차시,2024-02-01,5,삶을 살아가는 데 있어서 너무 유익한 연수였습니다!,"직접 요리학원을 다니면서 요리를 배우면 수강 비용도 많이 들고 시간도 많이 소비되는데 비대면으로 일상생활에서 원하는 시간과 장소에서 간편하게 따라할 수 있어서 너무 유용하고 좋아요!_x000D_
일상생활에서 간편하게 활용할 수 있는 너무 유익한 연수였습니다!",자기계발,"40,000원",전체대상,1
이보영의 바로 떠나는 왕초보 여행영어,30차시,2024-05-10,5,재미있고 도움이 많이 되었어요.,"여행 가기전에 준비하는 마음으로 수강했는데 너무 유용했습니다._x000D_
_x000D_
복습해서 여행할 때 많이 사용할 예정입니다.",어학,"75,000원",전체대상,1
"우리 반 마음 탐구, 교실 심리학",30차시,2024-01-24,5,교실 심리학과 놀이의 만남 = 최고의 조합,"매차시 아이들의 이야기를 들을 수있는 인터뷰가 있어서 참 좋았습니다. 그리고 두 선생님의 전문 분야를 편안하게 이끌어 가시며 알려주신 부분이 더 좋았습니다. ( 두분의 티키타카를 보는 재미가 쏠쏠~!!^^)_x000D_
_x000D_
매학년이 시작될때 마다 아이들과 어떻게 더 잘 지내볼까 고민하는데, 이번 방학 연수로 선택한 교실심리학 연수를 탁월했습니다. 두 선생님, 감사합니다!!",생활지도,"85,000원",유초등,1
하루 20분! 나만을 위한 '나마스떼' 힐링 요가,15차시,2024-05-13,5,하루의 피곤을 날려 보낼 수 있는 강의,"퇴근 후 20분 정도 간단하게 스트레칭 겸 요가를 하니_x000D_
하루 마무리가 개운하고 편안해 본 강의 추천합니다.",자기계발,"40,000원",전체대상,1
"김선현의 그림치유, 날지 않는 꿈도 괜찮아",15차시,2024-04-25,5,치열한 교육현장에서 편안함을 느낌," 매일 쏟아지는 업무와 아이들을 사랑하고 행복하게 해줘야한다는 책임감까지 겹치는 요즘 교사들. 좋은 그림으로 힐링의 시간을 가졌고, 전혀 관심이 없었던 MBTI 성격 유형에 대해 그나마 자세히 알게 되었으며, 아이들과 나를 이해하는 데 도움이 되었습니다.",자기계발,"50,000원",전체대상,1
MBTI로 가화만사성! 성격유형으로 보는 부부&자녀 대화법,5차시,2024-01-10,5,나와 다른 사람을 이해핼 수 있어요.,"연수 재미있어요. 서로 다른 타입의 사람이 나와서 대화도 너무 공감되구요,  내가 이상해서이거나 상대가 이상한 것이 아닌, 사람이 이렇게 서로 다르구나 알 수 있어서 너무 좋았어요. 서로 다른 타입의 사람들 어떻게 이해하고 살아야하나, 많은 도움이되었습니다. ",자기계발,"15,000원",전체대상,1
타인을 공감하고 존중하는 인권교육,15차시,2024-01-19,5,인권,존중. 나는 존중 받고 싶어하면서 정작 타인에 대해 공감하고 존중하는 능력은 부족했다. 이 연수를 통해서 존중 받고 싶어하는 사람이 성인 뿐 아니라 아이들도 존중 받고 싶어하고 존중 받아야 함을 알게 되었다.,생활지도,"40,000원",전체대상,1
"엑셀의 신, 학교에서 쓰는 쉬운 엑셀",30차시,2024-05-13,5,잘 배웠습니다~,잊지 않고 잘 활용하면 너무 유용할 것 같아요~ 감사합니다~,ICT,"75,000원",전체대상,1
교사를 위한 구글 활용법(입문자편),15차시,2023-12-21,5,잘 들었습니다,"감사합니다요_x000D_
도움이되었습니다요 ",ICT,"40,000원",전체대상,1
유럽여행을 위한 미술 이야기,30차시,2024-04-02,5,4학년 사회교과서를 연수받은 소감,"신학년의 교재를 미리 연수해 볼 수 있어서 도움이 된다. 친절한 설명도 좋고, 사회에 대한 개념도 잘 생각해 볼 수 있는 연수인것 같다.",자기계발,"75,000원",전체대상,1
"힐링여행, 유네스코 세계문화유산을 찾아서",60차시,2024-05-03,5,교육과정 설명,"제가 여행을 좋아해서 들은 연수인데, 시험은 조금 어렵지만, 후회하지 않은 연수었습니다. 많은 간접경험 매우 휼륭한 연수였습니다.^^",자기계발,"130,000원",전체대상,1
알면 편한 심리학 with 유미의 세포들,30차시,2024-04-11,5,감사합니다,밝고 웃는 얼굴로 연수를 해 주신 선생님 덕분에 그림책에 관심을 가지게 되었습니다. 좋은 정보 수업에 활용하겠습니다. 앞으로도 좋은 연수 부탁드립니다. 감사합니다. ,자기계발,"75,000원",전체대상,1
"Made at Home, 나만의 작은 홈카페 & 홈베이킹",15차시,2023-12-20,5,차 만드는데 유용한 연수,나만의 차를 만들어 보려고 합니다. 쉽고 간단하게 되어 있어 참 유용한 연수 였네요.,자기계발,"40,000원",전체대상,1
교사를 위한 구글 활용법(입문자편),15차시,2024-03-09,5,유익합니다. ,실제 학교 현장에서 구글을 이용한 업무 처리나 학습 이용에 관한 다양한 정보를 얻을 수 있어 좋습니다. 코로나 때 이용했던 구글 클래스룸 이후로 이것에 관심이 생겨 들었는데 지금도 클라우드 기능과 함께 자주 이용하고 있습니다. ,ICT,"40,000원",전체대상,1
최민준&김택수의 위대한 녀석들,15차시,2023-12-15,5,쉽게 듣기 좋아요.,남자 아이들을 이해하는데 도움이 되었습니다.,생활지도,"40,000원",유초등,1
"생각을 꺼내는 교육, 이제는 IB 시대",15차시,2024-04-16,5,IB교육에 대한 이해를 돕습니다.,IB교육이 무엇인지 궁금해서 수강신청을 했고 어떠한 맥락에서 IB교육의 도입을 말하는지 이해할 수 있는 강의였습니다. 내가 그것을 할 수 있느냐에 대해서는 확답할 수 없지만 필요한 이유를 이해할 수 있는 강의여여서 좋았습니다.,학습지도,"50,000원",전체대상,1
고전읽기로 1년 학급운영 쉽게 끝내기,30차시,2024-04-30,5,교사도 함께 하는 책읽기,고전 들어만 보고 안 읽어본 책들이 꽤 되었어요. 아이들과 함께 책을 읽어보고 이야기를 나누는 활동이 꽤 의미있었습니다. ,학급경영,"85,000원",유초등,1
"소통하는 학교, 참여하는 수업을 위한 교사의 퍼실리테이션 역량키우기",30차시,2024-02-14,5,빨리 마쳤습니다.,바빠서 충분히 듣지 못했어요~,학습지도,"75,000원",전체대상,1
즐겁고 건강한 줄넘기 수업 만들기,30차시,2024-01-17,5,다양한 방법으로 줄넘기를 가르칠 때 필요한 강의!,아이들에게 다양한 방법으로 줄넘기를 가르칠 때 유용한 강의!!,생활지도,"75,000원",유초등,1
"완벽한 혁신을 위한 교육과정, 수업, 평가, 기록의 일체화",30차시,2024-02-28,5,학기초 수업-평가 설계의 필수 연수,평가계획이 강조되는 요즘 교수평기의 일체화를 실현할 수 있는 연수였습니다. 수업을 설계하는데 도움이 되었습니다.,학습지도,"75,000원",중등,1
"공간의 재발견, 정리의 힘",15차시,2024-05-09,5,정리의 힘,정리의 힘 연수를 통해서 좀 더 넓은 공간을 활용할 수 있는 방법을 배워서 유익한 연수,자기계발,"40,000원",전체대상,1
큰별쌤 최태성의 별★별한국사,30차시,2023-12-17,5,별쌤 최태성의 별★별한국사,한국사는 이해하기 쉽고 재미있게 설명해 주시는 최태성 선생님의 강의 너무 고맙습니다. ^^ 역사를 더 잘 알고 싶고 지혜로운 삶을 살고 싶어요~,교과지도,"75,000원",전체대상,1
아는 만큼 즐기는 올 댓 와인,15차시,2023-12-27,5,와인 연수,평소에 관심있던 와인에 대하여 전문적으로 알 수 있는 좋은 기회가 되었습니다.,자기계발,"40,000원",전체대상,1
아이스크림으로 완성하는 에듀테크,15차시,2024-05-07,5,활용도 높은 연수,꼭 현장에서 활용할게요. ^^,ICT,"50,000원",유초등,1
"몰입과 학습을 한 번에, 교실 속 게이미피케이션",15차시,2024-04-15,5,몰입과 학습을 한번에 할 수 있는 게이미피케이션!,보드게임을 교과 학습에 연계하여 학습자의 흥미를 유발하도록 구성된 연수가 듣기 좋았습니다. 현직 교사들의 차분하지만 생기 있는 말과 표정이 인상 깊습니다.,학습지도,"50,000원",전체대상,1
"내생애 한번쯤, 세계문화유산 여행",30차시,2023-12-14,5,세계여행 가는 기분,강사님의 다른 연수가 좋아서 이것도 들었는데 역시 좋네요.^^,자기계발,"75,000원",전체대상,1
MBTI로 보는 우리! 성격유형으로 보는 갈등제로 소통,15차시,2024-05-17,5,마침내 MBTI 연수를 들었네요,어른에서 아이까지 MBTI 인기가 끝이 없는데 사람들을 이해하고 싶어서 신청했어요. 학생들을 이해하고 동료 교사들을 이해하는데 많은 도움이 됩니다. 16가지 유형을 세분화하여 각 유형의 특성을 낱낱이 외우지는 못하지만 그래도 전체적인 부분을 이해하게 된 것 같아요. ,자기계발,"50,000원",전체대상,1
"차이를 만드는 교실 습관, 자율의 힘",30차시,2024-01-20,5,"이제라도 이 연수를 알게 되어 너무 다행이고, 감사합니다.","그동안 제가 해 왔던 학급 운영 및 수업 방식을 되돌아 보고, 무엇이 문제인지 알게 되어 정말 다행이였던 연수였습니다. 감사합니다.",학급경영,"75,000원",전체대상,1
영어로 세계 속으로 with 내셔널 지오그래픽,15차시,2024-05-08,5,흥미진진하고 즐겁게 따라할 수 있었습니다.,영상과 관련한 영어공부를 할 수 있어서 지루하지 않았습니다. ,어학,"40,000원",전체대상,1
학급 관리부터 업무까지 한 방에! 교사를 위한 노션 활용법,15차시,2024-05-17,2,그닥...중간에 후회함.ㅠㅠ,이 분이 개발자 스타일이라 초보의 마음을 이해하지 못하네요.ㅠㅠ. 개인적으로는 노션 초보자가 보시면 노션포기하기 좋은 연수입니다.ㅠㅠ. 중급자 이상 분이 보시면 좋을 듯 합니다. ,ICT,"50,000원",전체대상,0
부자 교사의 재테크,15차시,2024-03-18,5,2030 시기에 들으면 더 좋아요,재테크 자본주의 사회에 사는 누구나 해야 하는 활동입니다. 좀 더 일찍 들었더라면 좋았을 것을 하는 생각이 듭니다.,자기계발,"50,000원",전체대상,1
"Made at Home, 나만의 작은 홈카페 & 홈베이킹",15차시,2024-01-13,5,생활에서 간편하게 사용할 수 있는 너무 유익한 연수였습니다!,"다양한 음료 레시피에 대해서 배울 수 있었고, 실생활에서 다양하게 적용하고 유용하게 활용할 수 있는 레시피라서 너무 유익한 연수였습니다!_x000D_
관심이 많은 분야의 연수라서 연수를 들으면서 힐링받을 수 있었던 것 같아서 더 만족스럽고 좋았습니다!^^",자기계발,"40,000원",전체대상,1
"공간의 재발견, 정리의 힘",15차시,2024-03-25,4,미니멀리즘을 하고싶으시다면,"정리가 잘 안되어 늘 좀 힘들어서 연수를 신청하게 되었어요. _x000D_
강의를 들으면서, 집도 교실도 조금씩 정리하다보니 한결 낫네요~ ",자기계발,"40,000원",전체대상,0
"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업",15차시,2023-12-18,5,쳇GPT 강의 ,쳇GPT 강의 중 가장 간편한 메뉴와 알기 쉬운 연수였습니다. 다른 분들께도 추천드립니다. ,학습지도,"50,000원",유초등,1
옥이샘의 뚝딱 미술로 여는 학급운영,15차시,2024-01-20,5,수업 걱정 노! ,여기 나온 활동 하나씩만 하면 1년은 재밌게 후딱 지날것 같아요 ,학급경영,"40,000원",유초등,1
선생님을 위한 자산관리 '3원칙 7단계' 핵심 노하우,15차시,2024-05-27,5,유익한 연수였어요~,실제 현장에서 참고할 수 있는 유익한 연수였어요.,자기계발,"40,000원",전체대상,1
별보다 빛나는 당신을 위한 슈퍼콘서트,30차시,2023-12-18,5,힐링이 되는 연수,"시즌 1 연수 두 번이나 이수했어요. 시즌 2도 역시 좋아요._x000D_
힘이 되고 쉼이 되는 연수였습니다.",자기계발,"75,000원",전체대상,1
두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 학습지도,15차시,2024-05-30,5,1 학년 이해하기,1학년을 이해하고 지도에 유익한 내용 잘 들었습니다~,학습지도,"40,000원",유초등,1
큰별쌤 최태성의 별★별한국사,30차시,2024-03-23,5,한국사 책도 받을 수 있어서 좋음,한국사 책이 가볍게 읽을 수 있어서 좋았음,교과지도,"75,000원",전체대상,1
통합교육의 거의 모든 것,30차시,2024-06-12,5,통합교육의 거의 모든 것,유익했던 연수였습니다.,생활지도,"75,000원",전체대상,1
큰별쌤 최태성의 별★별한국사,30차시,2023-12-26,5,재미있는 연수,늘 믿고 듣는 최태성 선생님 연수 너무 잘 들었습니다.,교과지도,"75,000원",전체대상,1
김성환 선생님과 함께 실천하는 학급긍정훈육법(PDC),30차시,2023-12-14,5,학급긍정훈육법,이해가 잘되었습니다,학급경영,"75,000원",유초등,1
5분 만에 끝내는 여행영어,7차시,2024-01-16,4,여행 앞두고 준비하는데 도움이 될 것 같아요,"여행 앞두고 준비하는데 도움이 될 것 같아요. 그래서 다른 영어 관련 자율연수도 신청했어요._x000D_
무료로 제공해주셔서 감사합니다.",어학,무료,전체대상,0
<허영만의 꼴> 내 삶을 리드하는 관상 활용법,30차시,2024-04-24,5,재미있는 시간이었어요.,쉽게 생각하고 들었는데 관상 쉬운게 아니었어요. 그러나 몇 가지 기억하며 스스로를 위해 바꾸어 나가면 좋겠다는 생각이 드는 지점이 있어 유용했습니다. ,자기계발,"85,000원",전체대상,1
정재승의 미래학교,30차시,2023-12-27,5,큰별쌤 최태성의 별★별한국사,우리의 역사를 바로 알고 배움으로써 우리 민족의 발자취를 함께 밝아보는 시간이 되었고 개인적으로 우리 민족의 자긍심과 기상을  다시 한번 일깨워준 유익한 시간 이였습니다.~~^^ 강추합니다~~,학습지도,"75,000원",전체대상,1
"우리 반 마음 탐구, 교실 심리학",30차시,2024-05-29,5,신선한 느낌,저학년만 하느라 영어를 오랫동안 잊어버리고 있었다가 다시 깨워주는 신선한 느낌이 좋았습니다. 감사합니다. ,생활지도,"85,000원",유초등,1
생각을 코딩하다! 소프트웨어교실,30차시,2024-01-05,5,수업 사례,수업 사례가 구체적이라 참 좋아요,ICT,"65,000원",유초등,1
"민주시민의 길, 평화와 통일교육",15차시,2024-04-02,5,"민주시민의 길, 평화와 통일교육",우리나라의 평화와 통일을 위하여 알찬 내용이 되어 있습니다. 많은 선생님들께서 연수를 들으셔서 미래를 위한 학생들에게 좋은 학습내용을 알려 주십시오. ,학습지도,"40,000원",전체대상,1
부자 교사의 재테크,15차시,2024-06-13,5,경제 관념의 무관심,"교실 안에서 아이들과 씨름만 하다보니 내가 너무 경제적으로 모르는 것이 많은 듯 하고, 사회에 나가면  재테크니 뭐니 하는 언어 조차 어려움을 느끼던 차에  이 연수를 듣고, 그래도 모르는 것이 무엇이고, 이런 중요한 것들이 있구나 하는 정도까진 알게 된 듯 합니다. 한 번으론 안되고 반복해서, 관심을 갖고 접하면~~~~^^ 사회에서 꼭 필요한 연수를 받게 되어서 감사드립니다.~~~^^",자기계발,"50,000원",전체대상,1
교사를 위한 구글 활용법(입문자편),15차시,2024-03-08,5,구글 학습의 시작!,"학교에서 많이 사용되는 구글 활용법._x000D_
실습 시간이 조금 부족한 단점은 각자가 해결해야하는데 연수시간만으로는 부족한 듯",ICT,"40,000원",전체대상,1
100배로 즐기는 세계문화유산 여행,30차시,2024-01-05,4,유네스코 문화유산의 핵심정리,전 세계에 퍼져있는 유네스코 세계 문화유산을 한자리에서 정리해 볼 수 있어서 좋았습니다. 화질이나 자료가 조금 옛스러운 아쉬움은 있네요.,자기계발,"75,000원",전체대상,0
"생각을 꺼내는 교육, 이제는 IB 시대",15차시,2023-12-18,5,어렵지만 해볼 용기가 생기는 연수,"IB를 해보고 싶지만 막막하다면, 이 연수를 듣고 수업시간을 조금씩 변화시켜 보세요^^",학습지도,"50,000원",전체대상,1
7대 안전 + 감염병! 한 번에 듣는 학교 안전교육,30차시,2024-01-09,5,"유익한 연수, 꼭 들어야만 하는 필수","안전 연수는 필수 연수라 듣기 시작했는데, 내용도 쉽고 시험도 쉬워 만족스러웠다, 각 분야의 전문가들이 연수를 진행하여 한 사람이 30차시를 연수하는 것보다 지루하지 않고 다양한 내용의 연수를 들을 수 있어 좋았다.",생활지도,"85,000원",전체대상,1
속이 뻥 뚫리는 교사 상담소,15차시,2024-05-27,5,시원하고 재미있는 상담소,"끄덕끄덕하기도 하고, 예상을 벗어난 상담 내용에 빵 터지기도 하면서 즐겁게 들었습니다. 저에게 닥친 문제 외에도 교사 생활을 하면서 지나오기도 하고 앞으로 맞닥뜨릴 수도 있는 문제들에 대해서 무겁지 않게 바라볼 수 있었던 연수였습니다. 제 문제도 조금 가벼워졌습니다. 당연히 고민에 정답을 알려주는 연수는 아니고(해답을 줄 수도 없고) 문제를 바라보는 관점을 여러 시간에 걸쳐 켜켜이 쌓아주시는 연수였습니다. 두 분 선생님께 감사를 드립니다. (책도 재미있게 읽었는데 연수를 들으니 책 내용이 더 생생합니다.^^)",자기계발,"50,000원",전체대상,1
학습격차를 줄이기 위한 슬기로운 수업방안,15차시,2024-03-13,5,부진아 지도방법 팁,학습부진 친구들 지도할때 팁이 좋아요,학습지도,"40,000원",중등,1
"오늘의 일상을 특별하게, 오일파스텔",15차시,2023-12-28,5,오일파스텔 시작하시는 선생님들께,정말 기초부터 차근차근 잘 설명해주셔서 보면서 따라 그리기 좋습니다.,자기계발,"40,000원",전체대상,1
꽤 괜찮은 해피엔딩: 외상 후 성장을 통한 인생 다시쓰기,2차시,2023-12-27,5,쌍방향이 가능한 온라인 수업 방법 및 도구 활용,온라인 수업에 활용할 수 있는 여러 가지 기본 툴을 기초적인 내용부터 세세하게 학습할 수 있는 연수이다.,자기계발,오픈준비중,오픈준비중,1
조병영의 문해력 수업,30차시,2024-03-24,5,문해력의 중요성을 알게 되었습니다.,연수를 통해서 문해력에 대해서 조금 더 이해하게 되었습니다.,학습지도,"75,000원",전체대상,1
교사를 위한 구글 활용법(입문자편),15차시,2023-12-15,5,좋은 연수 갑사합니다.,디지털 강의를 처음 도전하시는 분들께 추천합니다.,ICT,"40,000원",전체대상,1
그림책으로 배우는 삶과 죽음,30차시,2024-03-31,5,죽음에 대한 다양한 관점을 배울 수 있었습니다.,죽음에 대한 다양한 관점을 배울 수 있었습니다.,생활지도,"85,000원",전체대상,1
학급 관리부터 업무까지 한 방에! 교사를 위한 노션 활용법,15차시,2024-04-29,4,노션 활용 연수,"업무에 필요할 것 같은 에듀테크라 한 번 공부해보자고 들었는데.._x000D_
생각보다 많이 어렵네요. 회사 업무에는 탁월할 것 같아요._x000D_
반에서 이미 하고 있는 에듀테크들이 많아서 내년에 한꺼번에 정리하기에 좋을 것 같기도 합니다._x000D_
그런데 연수 진도가 너무 빠릅니다. 느리게 들을 수도 있지만 속도 문제가 아니라 강사가 전문가라 그런지 너무 빠르게 진도를 빼서 듣기에 좀 버거운 느낌이 있습니다. 좀 쉽게 강의를 해주면 어떨까 싶습니다.",ICT,"50,000원",전체대상,0
교사를 위한 구글 활용법(입문자편),15차시,2024-03-29,5,컴맹 탈출,컴퓨터를 매일 사용하지만 구글은 왠지 낯설어서 쉽게 사용을 하지 못하던 제가 이제 구글시트도 만들 수 있게 되었어요. 교직생활에 참 도움이 되는 연수인 것 같아요,ICT,"40,000원",전체대상,1
최민준&김택수의 위대한 녀석들,15차시,2023-12-27,5,남자아이를 지도하는 선생님에게 꼭 필요한 연수입니다.,"표현이 서툴고 불안감이 많은 남자아이, 승부욕이 강하며 거짓말로 발뺌을 하려는 남자아이들의 가치를 다시 한 번 되새겨보았습니다. 사회성 부족으로 혼자 놀기를 즐겨하며, 자신의 가치를 모르는 남자아이들을 지도하기 위한 다양한 교수학습방법을 찾아보고자 노력한다면 꼭 이 연수 들어보세요~",생활지도,"40,000원",유초등,1
"학습격차, 차이를 넘어 함께 성장하기",15차시,2023-12-18,5,아이들 생활지도,아이들을 이해하는 데 도움이 됐어요,학습지도,"40,000원",유초등,1
팝스 잉글리시 1,30차시,2023-12-18,5,유익한 강의였습니다.,자연스럽게 영어와 친해지는 방법이 아니가 싶어요~,어학,"65,000원",전체대상,1
