제목,시간,날짜,별점,리뷰제목,리뷰내용,연수분야,가격,대상,label
MBTI로 가화만사성! 성격유형으로 보는 부부&자녀 대화법,5차시,2024-06-13,5,MBTI는 필수!!,"주변에서  MBTI가 뭐~~ 어쩌구저쩌구~~~ 하는 이야기를 들을 때마다 뭐 저런걸 믿어?? 하는 의문이 들곤 했습니다. 그런데, 이 연수는 저를 많이 바꿔놓았습니다.~~~ 내가 갖고있던 교직관과 그렇게 고집해왔던 생각들이 아닐지도 모른다는 생각을 하게 되었고, 이런 생각들로 인하여, 딸과의 대화가 막히는 부분에서, 아이들 교육이 힘들었던 부분에서 이 MBTI가 많이 작용할 수 있다는 생각을 하게 되었고,  대화가 안되어서 손절했던 친구도 이제는 이해할 수 있게 되었습니다. 유익한 연수 감사드립니다. 앞으로 더 깊게 MBTI를 연구하고 싶습니다~~~^^ 감사합니다~~~^^",자기계발,"15,000원",전체대상,1
학습격차를 줄이기 위한 슬기로운 수업방안,15차시,2024-06-13,5,학습격차를 줄이기 위한 슬기로운 수업방안,좋은 연수 잘 들었습니다. 많은 도움이 되었습니다.,학습지도,"40,000원",중등,1
부자 교사의 재테크,15차시,2024-06-13,5,경제 관념의 무관심,"교실 안에서 아이들과 씨름만 하다보니 내가 너무 경제적으로 모르는 것이 많은 듯 하고, 사회에 나가면  재테크니 뭐니 하는 언어 조차 어려움을 느끼던 차에  이 연수를 듣고, 그래도 모르는 것이 무엇이고, 이런 중요한 것들이 있구나 하는 정도까진 알게 된 듯 합니다. 한 번으론 안되고 반복해서, 관심을 갖고 접하면~~~~^^ 사회에서 꼭 필요한 연수를 받게 되어서 감사드립니다.~~~^^",자기계발,"50,000원",전체대상,1
수업이 막막할 땐 성공 보장 수업 스킬,30차시,2024-06-13,5,탁월한 명강의!,"평소 김성규 선생님의 수업을 많이 따라했었는데, 연수도 하셨다고 하여 들었습니다. 역시나! 명성은 어딜가지 않네요! 탁월한 강의 감사합니다. 들어보실 만해요!",학습지도,"85,000원",유초등,1
교사를 위한 학생안전길라잡이,15차시,2024-06-13,5,내용이 간결하고 좋아요.,꼭 필요한 내용만 추려서 알려주는 왕초보에게 필요한 알짜배기 연수 입니다.,생활지도,"35,000원",전체대상,1
특수교사 백과사전,30차시,2024-06-12,5,내용이 어렵지 않고 쉽게 이해할 수 있게 잘 구성되어 있어서 유익했습니다.,"신규 특수교사나 저경력특수교사에게 도움이 될만한 내용이고, 경력이 오래된 특수교사에게도 특수교육 및 통합교육을 위한 최신 동향을 배울 수 있는 연수일 것 같습니다. _x000D_
특수교사로서 두루두로 알아두면 좋을 내용들이 모두 언급된 연수여서 나름 만족하게 수강하였습니다.",학급경영,"75,000원",전체대상,1
[700+목표] 한 권으로 끝내는 해커스 토익 700+RC ①,30차시,2024-06-12,5,혼자 토익공부하기 힘든 저에게 큰 도움이 됩니다.,혼자 해보려다 안되서 연수를 신청했는데 연수를 들으니 꾸준히 할 수 있어서 좋습니다. 단어도 외우고 문제도 풀고 연수 들으면서 할 일이 많지만 혼자 하는 것 보다는 몇 배 좋아요.,어학,"85,000원",전체대상,1
"즐거운 대화, 하브루타로 수업하기",30차시,2024-06-12,5,잘들었습니다.,하브루타 수업에 대해 알게되었습니다. 실제 교실에서 사용하는 장면도 있으면 참고해서 적용하기 쉬울 것 같습니다.,학습지도,"75,000원",전체대상,1
큰별쌤 최태성의 별★별한국사,30차시,2024-06-12,5,한국사 공부가 되었습니다.,"한국사에 대해 깊이 있는 이해를 하고 싶어서 최태성 선생님 강의를 듣게 되었습니다. 덕분에 역사에 더 흥미를 갖게 되었고, 앞으로 수업을 할 때 좀 더 자신감 있게 임할 수 있을 것 같습니다. 감사합니다.",교과지도,"75,000원",전체대상,1
교실에서 바로 적용하는 스마트기기 활용 수업,15차시,2024-06-12,5,교실에서 스마트기기 활용에 도움되는 연수,"교실에 있는 스마트 기기를 어느 정도 사용한다고 생각했는데, 이 연수를 통해 보다 더 많은 사용 방법을 알게 되었고, 수업에 필요성 또한 느끼게 되었습니다.",학습지도,"50,000원",유초등,1
정재승의 인간수업,30차시,2024-06-12,5,너무 유익한 연수였습니다.,"우리의 삶에 뇌가 어떻게 작용하는지 알 수 있었던 시간이었습니다.  사람에 대해 알지 못했던 것, 생각지 못했던 걸 새롭게 알게 된 유익한 연수였습니다.",자기계발,"85,000원",전체대상,1
통합교육의 거의 모든 것,30차시,2024-06-12,5,통합교육의 거의 모든 것,유익했던 연수였습니다.,생활지도,"75,000원",전체대상,1
SW&AI 코딩수업의 모든 것 - 언플러그드,15차시,2024-06-12,5,SW&AI 코딩수업의 모든것-언플러그드,수업활용에 많은 도움이 되었습니다. 이해하기 쉽게 기초부터 잘 배웠습니다.,ICT,"50,000원",유초등,1
정재승의 미래학교,30차시,2024-06-12,5,유익한 연수,"정재승교수의 설명이 이해하기 쉬었으며, 많은 도움이 되었음",학습지도,"75,000원",전체대상,1
큰별쌤 최태성의 별★별한국사,30차시,2024-06-12,5,최태성 선생님의 강의를 즐겁게 이수하였습니다.,최태성 선생님의 강의를 즐겁게 이수하였습니다. 역사공부에 많은 도움이 되었습니다^^,교과지도,"75,000원",전체대상,1
큰별쌤 최태성의 별★별한국사,30차시,2024-06-12,5,한국사 수업 강추,초등학교 고학년 담임을 맡고 있습니다. 한국사 공부를 쭉 살펴보며 현장에 적용하기 좋습니다.,교과지도,"75,000원",전체대상,1
통합교육의 거의 모든 것,30차시,2024-06-12,5,통합학급을 맡은 선생님추천,통합학급을 맡은 담임으로서 기본적인 이해와 교육적 적용법을 익힐 수 있는 시간이었습니다.,생활지도,"75,000원",전체대상,1
"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업",15차시,2024-06-12,5,유익한 연수,챗GPT의 활용에 대해 고민해 보는 유익한 연수였습니다.,학습지도,"50,000원",유초등,1
"학습부진, 천천히 함께 걷기",15차시,2024-06-12,5,교육인권,인권에 대해 생각하기에 좋은 연수였습니다.,학습지도,"35,000원",유초등,1
아이스크림으로 완성하는 에듀테크,15차시,2024-06-12,5,스마트 소통 방법을 알게 된  좋은 기회,"코로나  상황에서 순회수업을 2개 학교에 가서 원격수업의 어려움을 알게되었습니다..._x000D_
미래 교육을 대비하는 좋은 기회였으며 팅커밸이 다양하고 재미있는 기능을 알게되고 활용함으로써 디지털 활용 수업의 중요성을 알게 된 좋은 기회였습니다.  _x000D_
요즘 학생들은 배움의 과정에서 게임형식을 매우 좋아하는것 같습니다. 팅커벨이 제공하는 게임형 학습 툴들은 이에 좋은 학습기능을 갖고있습니다._x000D_
나의 수업에도 잘 적용하여 보겠습니다._x000D_
유용한 연수프로그램  감사합니다.  ",ICT,"50,000원",유초등,1
질문이 함께하는 학생참여수업,30차시,2024-06-12,5,위로의 시간,"지금까지 생각했던 기본 틀을  깨게 하는, 마음을 다스리게 하는 위로의 연수, 유익한 연수였다",학습지도,"65,000원",유초등,1
"오늘의 일상을 특별하게, 오일파스텔",15차시,2024-06-12,5,마음 휴식 한번 제대로 한 것 같아요.,"솜씨는 부족하지만 그리기는 좋아하는 사람으로서_x000D_
너무 좋은 연수였어요._x000D_
개인적으로 마음도 쉬어갈 수 있는 힐링 연수였고,_x000D_
아이들과 함께 미술 시간에 해보고 싶은 활동이기도 해서_x000D_
정말 좋았습니다._x000D_
그리고 갈수록 연수든 모임이든 부담을 덜고 싶은 마음이 있는데,_x000D_
부담스럽지도 않고 100점짜리 연수였습니다^^",자기계발,"40,000원",전체대상,1
"몰입과 학습을 한 번에, 교실 속 게이미피케이션",15차시,2024-06-12,5,교실 속 케이미피케이션,"즐거운 연수였습니다. _x000D_
_x000D_
학생들과 함께 교과활동 연계 뿐만아니라 여가활동의 일환으로 진행하면 좋을 것 같다는 생각이 들었습니다. _x000D_
많은 정보 감사드립니다. ",학습지도,"50,000원",전체대상,1
아이스크림으로 완성하는 에듀테크,15차시,2024-06-12,5,정말로 유익한 연수,요즘 에듀테크로 머리가 아프고 막막했는데 아이스크림 에듀테크 연수를 받고 나니 한 줄 기 빛이 보이는 듯 합니다. 정말 감사합니다. 아이스크림에 이렇게 다양한 자료가 있었는데 몇 년 동안 아이스크림 유료 회원이었으면서도 잘 활용하지 못했었네요. 앞으로 본 연수를 통해 배운 다양한 콘텐츠들 많이 많이 활용해보도록 하겠습니다. 감사합니다.,ICT,"50,000원",유초등,1
"자연에서 하루 쉼표, 캠핑 & 백패킹",15차시,2024-06-11,5,Let's AI 인공지능 교육 활용편,Let's AI 인공지능 교육 활용편 연수  잘 들었습니다.,자기계발,"50,000원",전체대상,1
"쉽게 쓰고, 소품으로 완성하는 캘리그래피",15차시,2024-06-11,5,캘리그래피 너무 좋아요,"캘리그래피 너무 좋아요._x000D_
이쁜 글씨쓰기 배우는 시간 힐링되고 너무 좋아요._x000D_
감사합니다.",자기계발,"40,000원",전체대상,1
"공간의 재발견, 정리의 힘",15차시,2024-06-11,5,정리의 중요성,"정리의 중요성을 다시 한번 깨닫게 된 좋은 연수였습니다. _x000D_
감사합니다.",자기계발,"40,000원",전체대상,1
EBS다큐프라임으로 배우는 생태전환교육,30차시,2024-06-11,5,EBS다큐프라임 교육,이런 좋은 연수를 들을 수 있게 해주신 경북 교육청에 감사드립니다.,학습지도,"75,000원",전체대상,1
"골프, 초보에서 필드까지",30차시,2024-06-11,5,이론과 실전,실전에 필요한 이론을 무장함,자기계발,"85,000원",전체대상,1
교실에서 바로 적용하는 스마트기기 활용 수업,15차시,2024-06-11,5,15차시 교실에서 바로 적용하는 스마트기기 활용 수업,에듀테크 수업에 정말 필요한 연수입니다. 더 공부하고 싶습니다.,학습지도,"50,000원",유초등,1
다양한 재료로 쉽게 따라 하는 캘리그라피,15차시,2024-06-11,5,실생활에 유익한 연수,실생활에 유익한 연수 잘 들었습니다,자기계발,"40,000원",전체대상,1
안전교육 SOS - 아이들을 부탁해!,30차시,2024-06-11,5,여러 가지 글씨 모양,여러 가지 글씨 모양을 따라 쓰다보니 많은 도움과 실제 사용 가능할 것 같아 감사합니다.,학습지도,"65,000원",전체대상,1
법정의무교육 한 번에 이수하기,15차시,2024-06-11,5,벅찬 연수를,한 방에 해결할 수 있어요~ ^^ 돈은 들지만 연수 부담을 줄이고 싶은 분들께 추천이요!,생활지도,"40,000원",전체대상,1
부자 교사의 재테크,15차시,2024-06-11,5,재테크,교사하기도 벅찬데 재테크도 알아야 하는 현실이 슬프네요. 입문용으로 추천이요~,자기계발,"50,000원",전체대상,1
지나영의 본질육아,30차시,2024-06-11,5,본질육아,정보의 홍수 속에서 정말 중요한 게 무엇인지 고민하는 시간이었습니다~,자기계발,"85,000원",전체대상,1
교사를 위한 구글 활용법(입문자편),15차시,2024-06-11,5,구글 쉬워요,배워보니 다양하게 사용할 수 있어 추천합니다.,ICT,"40,000원",전체대상,1
학습격차를 줄이기 위한 슬기로운 수업방안,15차시,2024-06-11,5,"이해하기 쉽고, 도움이 되는 연수","현장에 접목할 수 있는 쉽고 이해하기 쉬운 연수입니다~_x000D_
이수완료 했어요.",학습지도,"40,000원",중등,1
학급 관리부터 업무까지 한 방에! 교사를 위한 노션 활용법,15차시,2024-06-11,5,좋은연수,좋은 연수 잘 들었습니다,ICT,"50,000원",전체대상,1
다름을 이해하는 교실 속 통합교육,30차시,2024-06-11,5,좋은 연수 잘 들었습니다.,좋은 연수 잘 들었습니다. 특수아동을 이해할 수 있는 좋은 기회,생활지도,"65,000원",전체대상,1
여행과 문화로 배우는 맛있는 스쿨 - 일본어 편,15차시,2024-06-11,5,아~~~~언제쯤이면 ,"늦은(?) 나이에 시작해서 중국어 공부를 한지도 벌써 7년차...._x000D_
어학공부에 자신이 생겨 두번째로 도전한 일본어 공부도 2년차인데 왜......_x000D_
중국어처럼 입과 귀가 열리지 않을까요?_x000D_
결국 열심히 노력하는 방법 이외에는 없겠죠 ㅎㅎ_x000D_
이번 연수를 통해 좀 더 자신감을 가지고 올 여름 일본 여행에서 꼭 사용해 보겠습니다._x000D_
좋은 강의 감사드립니다._x000D_
",어학,"40,000원",전체대상,1
초기 문해력 - 기초학력 디딤돌 세우기,15차시,2024-06-10,5,좋은 강의,"문해력의 기초 지식을 이해할 수 있는 좋은 강의였습니다._x000D_
",학습지도,"50,000원",유초등,1
공신공부법 코치양성과정,30차시,2024-06-10,5,공부 방법에 대한 자세한 내용을 알게 되어 좋았습니다.감사합니다.,"공부 방법에 대한 자세한 내용을 알게 되어 좋았습니다._x000D_
감사합니다._x000D_
학생들이 이 내용을 직접 들으면 좋을 것 같습니다.",생활지도,"75,000원",전체대상,1
정신과 전문의 김학철의 교사 마음 치유,15차시,2024-06-10,5,김학철 선생님께 심리상담 받아보고 싶어요.^^,"  김학철 선생님이 비유해서 설명해주신 것이 ‘약물치료’와 ‘심리치료’의 차이였습니다. 사람이 물에 빠졌을 때, 구명조끼를 건네주는 것이 ‘정신과 약’이라면, 수영하는 법을 가르쳐 주는 것은 ‘심리상담’이라고 하셨습니다. 당장 물에 빠지지 않고 생명을 구해야 하니, 현실적으로 약물치료가 많이 이루어지고, 정부나 의사 입장에서도 빠른 효과를 볼 수 있고 경제적 이익도 챙길 수 있는 ‘약물 치료’를 하는 것이 현실이라는 솔직한 설명도 들었습니다. ‘심리상담’을 하려면 시간과 돈과 에너지를 장기적으로 투자해야 하니 쉽지 않다고요. 그리고 김학철 선생님은 100시간 정도 상담을 하신 것 같다고 하셨어요._x000D_
_x000D_
  모든 차시가 좋았지만, 제가 인상적으로 들은 내용은 ‘더닝-크루거 곡선’에 관한 내용이었습니다. 인간은 자존감이 매우 높고 뭐든지 할 수 있을 것 같은 ‘무지함의 봉우리’와 어떤 일을 계기로 자신을 바닥을 보게 되는 ‘고통의 계곡’을 경험하게 된다고 합니다._x000D_
_x000D_
  어쩌면 인간은 평생을 ‘무지함의 봉우리’와 ‘고통의 계곡’을 오가는 것은 아닌가 하는 생각도 해 봅니다. ‘고통의 계곡’을 있는 그대로 받아들이고 극복해 나갈 때, 자유롭게 어른으로 설 수 있는 것이 아닐까요?_x000D_
_x000D_
  사람이 보통 선택을 하게 되는 원인은 불안과 용기 둘 중에 하나라고 합니다. 불안해서 한 선택은 나중에 후회를 하게 되지만, 용기를 가지고 한 선택은 이미 괴로움을 각오했기 때문에 후회하지 않는다고 해요. _x000D_
_x000D_
  지난주 제가 만났던 이 연수는 저에게 많은 인사이트를 주었고, 간접적으로나마 단단해진 느낌입니다. 앞으로 저는 얼마나 많은 ‘무지함의 봉우리’, ‘고통의 계곡’을 만나게 될까요? 두려움과 불안이 함께 하겠지만, 언제나 용기를 가지고 지혜로운 어른의 선택을 했으면 좋겠습니다.",생활지도,"50,000원",전체대상,1
영어로 세계 속으로 with 테드,30차시,2024-06-10,5,멀티 연수,영어 표현력도 키우고 다양한 분야의 정보도 얻고 반성도 하게 되는 유익한 연수였습니다.,어학,"85,000원",전체대상,1
현아샘의 단단하고 따뜻한 그림책 학급운영,30차시,2024-06-10,5,영어로 세계 속으로 with TED,영어 표현력도 키우고 다양한 분야의 정보도 얻고 반성도 하게 되는 유익한 연수였습니다.,학급경영,"75,000원",유초등,1
큰별쌤 최태성의 별★별한국사,30차시,2024-06-10,5,한국사 연수,재밌고 유익한 한국사 연수였습니다~!,교과지도,"75,000원",전체대상,1
속이 뻥 뚫리는 교사 상담소,15차시,2024-06-10,5,좋은 연수,"매년 새로운 아이들을 만나고 동료교사와 학부모를 만나야 하는 선생님의 스트레스는 상당하다._x000D_
어쩔때는 괜찮은 척 아무렇지 않은척하지만 마음속은 그렇지 않을때가 종종 있다._x000D_
이  연수를 통해 그런 부분을 돌아보고 바람도 쐬이고 햇빛에도 말리는 그런 기분이 들었다._x000D_
그리고 기본적인 것이 가장 중요하다라는 것을 다시 한 번 느낄수 있은 연수였다.",자기계발,"50,000원",전체대상,1
통합교육의 거의 모든 것,30차시,2024-06-10,5,모든 선생님들께 추천하는 시간과 돈이 아깝지 않은 최고의 연수,"처음으로 특수 학급 학생을 맡으면서 너무 힘들었고 의문이 계속 생겼습니다. _x000D_
1. 이 학생의 상황을 장애라고 직접적으로 표현하지 않고 일반 학생들에게 어떻게 이해시켜야 하나?  _x000D_
2. 장애 학생이 일반 학교, 통합 학급에서 공부하는 것이 과연 도움이 될까?_x000D_
3. 일반 학생들에게 피해만 주고 역차별이 되는 것이 아닐까?_x000D_
4. 이 특수 학생이 학교에 나와서 배우는 것이 무엇이 있을까?_x000D_
5. 이 특수 학생은 나중에 커서 어떻게 살아갈까?_x000D_
6. 어려운 수업 내용을 어떻게 동시에 같이 수업을 할 수 있을까?_x000D_
7. 일반 학부모에게 이 학생에 대해서 어떻게 설명해야 할까?_x000D_
8. 도움반 교사와 담임 교사 중 누가 주로 책임을 져야 할까?_x000D_
9. 국가에서, 교육청에서 장애 학생에게 어떤 지원을 해주는가?_x000D_
10. 어린 아가처럼 달래면서 가르쳐야 하는가? 아니면 단호하게 일반 학생들처럼 지도해야 하는가?_x000D_
11. 장애 학생의 학부모에게 어떻게 학부모 교육을 해야 할까?_x000D_
12. 장애 학생에게 어디에서부터 어디까지 가르쳐야 할까?_x000D_
13. 체험학습, 학교 행사에 어떻게 참여시킬 수 있을까?_x000D_
14. 병원이나 상담 치료를 받는 것이 도움이 될까?_x000D_
장애를 가지고 있다는 것은 제가 경험할 수 없는 미지의 세계이기 때문에 대체 뭘 어떻게 해야할지 너무 막막하고 힘들고 다른 아이들한테도 너무 미안했습니다._x000D_
_x000D_
그런데 이 연수를 들어보니 그 동안의 궁금증이 풀리는 속 시원한 느낌이었습니다. 무엇보다 결코 제가 무능력하고 무기력한 교사가 아니었다는 것을 지지받고 위로 받고 격려 받는 느낌이었습니다. _x000D_
_x000D_
와닿지도 않고 전혀 활용할 수도 없는 이론적이고 형식적인 연수가 아니라 진심으로 선배 교사로서 직접 현장에서 학생들을 지도해보신 경험과 노하우 이야기를 들려주시는 점이 참 좋았습니다. _x000D_
_x000D_
엄청나고 화려하고 이상적이고 모범적인 방법이 아니라 실제로 나의 교실에서도 할 수 있는 쉽고 소소하지만 확실한 방법들이라 더 자신이 생겼습니다. 그리고 계속해서 실제로 어려운 일이라고, 지금도 잘 하고 있는 것이라고, 마음을 먹는 것만으로도 대단한 거라고 격려해주셔서 응원 받는 느낌이 들었고 힘이 생겼습니다.  _x000D_
_x000D_
또한 꼭 장애 학생을 대상으로 지도하는 방법이 아니라 학급 전체를 경영하는 철학, 모든 학생에게 일관되게 적용하는 원리를 중점적으로 방향을 잡아주셔서 더 공감이 되고 이해가 잘 되었습니다. _x000D_
_x000D_
ADHD나 난독증이나 발달 지연 학생들이나 정서나 심리적 어려움을 겪는 우리 모든 아이들, 다양한 아이들을 지도하시는 이 세상 모든 선생님들께 이 연수를 강력하게 추천합니다._x000D_
_x000D_
교안도 말씀하시는 내용을 전부 다 옮겨 주셔서 공부하기에도 더 좋았습니다._x000D_
_x000D_
이렇게 유익한 연수를 마련해주신 강사님과 아이스크림 연수원에게 진심으로 감사드립니다.",생활지도,"75,000원",전체대상,1
학교에서 꼭 필요한 진로교육,30차시,2024-06-10,5,매우 유용한 연수,학생들의 진로교육 시간에 잘활용할 수 있는 유용한 연수였습니다.,생활지도,"85,000원",전체대상,1
영어회화 100일의 기적,30차시,2024-06-10,5,영어회화 100일의 기적,매일 조금씩 영어 공부를 하니까 좋아요. 쉽고 체계적으로 재미있게 할 수 있어서 좋았습니다.~,어학,오픈준비중,오픈준비중,1
쏭쌤&이종대왕의 리얼 놀이로 푸는 초등학급경영,30차시,2024-06-10,5,놀이와 연계한 학급경영,아이들이 좋아하는 놀이를 학급경영에 적용하고 싶을 때 듣기 좋은 연수인 것 같습니다~!,학급경영,"75,000원",유초등,1
옥이샘의 뚝딱 미술로 여는 학급운영,15차시,2024-06-10,4,신나는 놀이 연수,고학년말고 저학년용도 만들어 주세요,학급경영,"40,000원",유초등,0
부자 교사의 재테크,15차시,2024-06-10,5,부자 교사의 재테크-알찬 연수,"부자교사의 재테크_x000D_
내용이 알차서 배우고 익히면 재테크에 많은 도움이 되리라 생각됩니다. 감사합니다.",자기계발,"50,000원",전체대상,1
한국어교원양성과정 Ⅰ,30차시,2024-06-10,5,새로운 공부,우리나라 언어에 대한 새로운점을 알게 되는 유익한 연수 입니다.,자기계발,"75,000원",전체대상,1
야나두 미국에서 한 달 살기- 현지 토크 편,15차시,2024-06-10,5,부자교사의 재테크,내용이 알차서 배우고 익히면 재테크에 많은 도움이 되리라 생각됩니다. 감사합니다.,어학,"40,000원",전체대상,1
야나두 미국에서 한 달 살기- 현지 토크 편,15차시,2024-06-10,5,알차고 유익한 연수,미국인의 생활에서 필요한 주제라서 쉽게 와닿고 활용도가 높게 느껴집니다.,어학,"40,000원",전체대상,1
알베르토가 함께 하는 핵심역량 연계 다문화 교육,30차시,2024-06-10,5,강의 짱!!!,강의 내용이 유익하고 좋았습니다.,생활지도,"75,000원",전체대상,1
부자 교사의 재테크,15차시,2024-06-10,5,. 경제개념을 키울 수 있는 연수였습니다. ,경제 개념을 부담감 없이 듣기 괜찮았습니다. ,자기계발,"50,000원",전체대상,1
"내 삶에 지혜를 더하는 명강사, 명강의 30",30차시,2024-06-10,5,유명강사들의 강의,"국내 유명강사들의 강의를 들을 수 있어서 좋았습니다._x000D_
알았던 강사님들은 좋은 강의를 들을 수 있었고, 모르던 좋은 강사님을 알게되어 좋습니다.",자기계발,"85,000원",전체대상,1
